c++程序设计教程（通用版）（第三版） 钱能著 978-7-3025-2126-6 TP313
灵魂空洞的烙印 罗婧著 978-7-5306-7558-8 I227
2018年中国新诗年选读本 "诗刊社编,李少君主编" 978-7-5760-0473-1 I227
跋涉者之歌 丰蕴著 978-7-5068-7852-4 I227
给郁结的诗 董晨宇著 978-7-5680-5351-8 I227
李季诗歌精选 "李季著,李江夏选编" 978-7-225-05971-6 I227
异乡人 沈苇著 978-7-5378-6195-3 I227
睡眠花 路东著 978-7-5444-9452-6 I227
天使之箭 西渡著 978-7-5444-9453-3 I227
医海诗话 颜雨春著 978-7-5396-6916-8 I227
2019年中国新诗排行榜 谭五昌主编 978-7-5695-1610-4 I227
如意 赵红亮著 978-7-5155-1993-7 I227
梵·朵 赵红亮著 978-7-5155-1992-0 I227
大地之光盖过所有的忧伤 鱼跃著 978-7-208-16358-4 I227
路之歌 刘书贤著 978-7-5468-1924-2 I227
中国女诗人诗选 施施然主编 978-7-5702-1458-7 I227
诗写潜江 黄明山主编 978-7-5702-1440-2 I227
在一首诗里张扬 米成洲著 978-7-5212-0965-5 I227
唤醒二月的鱼 袁庆著 978-7-5477-3667-8 I227
无雪的日子 周炎中著 978-7-5598-2946-7 I227
目空诗词 蒋旬著 978-7-5108-8643-0 I227
起舞弄清影 刘厦静著 978-7-5139-3029-1 I227
微弱但不可摧毁的事物 胡少卿著 978-7-5426-6928-5 I227
有限事物的无限吸引 程一身著 978-7-5426-6927-8 I227
我要照顾我的黑 娥娥李著 978-7-5598-2820-0 I227
人生总要写首像样的诗 "第四届全球华语大学生短诗大赛组委会编,廖文静主编" 978-7-5115-6424-5 I227
纵情怀为马 迟云著 978-7-5212-1056-9 I227
在那彩云之南 吴颖丽著 978-7-5212-0999-0 I227
如此多娇 刘峰著 978-7-5646-4393-5 I227
小河秋意图 朱光明著 978-7-5411-4830-9 I227
清风徐来 钱洪德著 978-7-5520-3178-2 I217
中国当代文学选本 王昕朋主编 978-7-5171-3465-7 I217
从古老的河道醒来 胡万俊编 978-7-5697-0045-9 I217
湖边琐语 王义遒著 978-7-301-31343-5 I217
寸草心 张建国著 978-7-5169-1606-3 I267
杨炼创作总集 杨炼著 978-7-5675-4140-5 I217
金秋之果 满吉拉著 978-7-105-15987-1 I217
天涯杂俎 单正平著 978-7-5426-6957-5 I267
我爸爸 程琳著 978-7-02-016021-1 I217
扶贫路上敬芳华 李志仁著 978-7-5690-3763-0 I253
一生的麦地 刘亮程著 978-7-02-016170-6 I217
万物静观皆有灵 汪曾祺著 978-7-5447-8158-9 I267
师友故人忆念中 汪曾祺著 978-7-5447-8157-2 I217
华夏之心 黄婕著 978-7-5201-6544-0 K296
壶里春秋二集 朱维铮著 978-7-5217-1691-7 K203
文化里的中国 陈璧耀著 978-7-5476-1595-9 K203
古典学之文化大传统视角 李永平著 978-7-01-021862-5 K203
国学精神 蔡元培著 978-7-5682-8102-7 K203
中国传统文化研究 刘怀荣主编 978-7-5670-2453-3 K203
中国古代的游侠 王齐著 978-7-100-18417-5 K203
中国通史简编 范文澜著 978-7-214-24112-2 K20
中国访书记 "(日)内藤湖南等著,钱婉约译" 978-7-5108-6615-9 K207
约瑟夫斯与第一次犹太战争 "(英)德斯蒙德·苏厄德著,杨迎译" 978-7-5139-3014-7 K18
犹太史 "(奥)库尔特·舒伯特著,颜展译" 978-7-5426-7013-7 K18
愤激年代 "(英)大卫·洛绘,(美)昆西·豪文" 978-7-5473-1655-9 K152-64
伯力城审判 孙家红编校 978-7-5108-8902-8 K153
战争之间 "(美)菲利普·齐格勒著,周旭译" 978-7-5142-2994-3 K151
高清一战全史 "(美)霍兰·汤普森主编,金学品等译" 978-7-229-14642-9 K143
高清一战全史 "(美)霍兰·汤普森主编,刘璇等译" 978-7-229-14641-2 K143
高清一战全史 "(美)霍兰·汤普森主编,张玉亮等译" 978-7-229-14640-5 K143
第一次世界大战全史 张乃燕著 978-7-5075-5293-5 K143
第一次世界大战史 "(英)马丁·吉尔伯特著,李广才译" 978-7-5702-1135-7 K143
拜占庭帝国史 "(美)A.A.瓦西列夫著,徐家玲译" 978-7-100-18390-1 K134
地中海海战三部曲 (日)盐野七生著 978-7-5217-1255-1 K134
拜占庭 "(英)朱迪斯·赫林著,李潇阳译" 978-7-5520-3110-2 K134
不可不知的古罗马文明史 尚德君著 978-7-5680-5320-4 K126
不可不知的古希腊文明史 杨益著 978-7-5680-5531-4 K125
希腊史 "(德)德特勒夫·洛策著,曾悦译" 978-7-5426-6755-7 K125
大国霸权 "(日)宫崎正胜著,米彦军译" 978-7-213-09753-9 K109
书信中的世界史 "(英)西蒙·蒙蒂菲奥里著,王涛译" 978-7-5561-2497-8 K109
西方史纲 李筠著 978-7-5538-1307-3 K109
南开史学 江沛主编 978-7-5201-6693-5 K107-55
末日总在咫尺间 "(美)丹·卡林著,林华译" 978-7-5217-1628-3 K107
世道 "(日)日本博学俱乐部著,蒋芳婧译" 978-7-5008-7426-3 K107
把世界装进火柴盒 "(英)西蒙·加菲尔德著,陈鑫媛译" 978-7-221-15985-4 K103-49
进程 "(瑞典)约翰·诺伯格著,刘少阳译" 978-7-201-16012-2 K103-49
黑色雅典娜 "(英)马丁·贝尔纳著,郝田虎...[等]译" 978-7-305-23267-1 K103
小典故大文化 姜婷编著 978-7-5113-8079-1 K103
修昔底德的苏醒 陈莹雪著 978-7-100-18421-2 K095
新中国历史学研究70年 卜宪群主编 978-7-5203-6172-9 K092
从思辨到分析 何兆武著 978-7-301-29363-8 K0-53
有思想的历史 王立新著 978-7-100-18419-9 K0-53
大英博物馆人类简史 "(英)黛布拉·曼考夫著,谢文娟译" 978-7-5713-1017-2 K02-49
人的信息化与人类未来发展 计海庆编著 978-7-208-16258-7 K02
史学调查与探索 教育部社会科学委员会历史学学部编 978-7-303-25174-2 K0
历史学的真相 张耕华著 978-7-5207-1499-0 K01
历史的镜子 吴晗著 978-7-5113-8189-7 K06
好莱坞如何征服全世界 "(法)诺文·明根特著,吕妤译" 978-7-100-18312-3 J997
上海电影产业报告 上海市文化广播影视管理局编 978-7-5476-1606-2 J992
农村数字电影的类型化制作 韩婷婷著 978-7-5068-7540-0 J992
动画表演规律 "(加)南希·贝曼著,王瑶译" 978-7-5153-5908-3 J954
从观察到反思 任洪增...[等]著 978-7-5690-3312-0 J952
电影市场营销与企业战略管理 庄园园著 978-7-5690-2388-6 J943
电影人之眼 "(美)古斯塔沃·默卡多著,黄裕成译" 978-7-115-53540-5 J931
新电影三大导演 杨小滨著 978-7-5473-1654-2 J911
中国当代女性电影创作研究 刘敬著 978-7-5615-4517-1 J909
高雅好莱坞 "[加拿大]施恩·鲍曼著,车致新译" 978-7-5447-8272-2 J905
影像·历史·诗歌 "(法)乔治·迪迪-于贝尔曼著,王名南译" 978-7-208-16334-8 J905
多元视域中的底层影像 林进桃著 978-7-5203-6633-5 J905
流浪叙事 李彬著 978-7-5670-1971-3 J905
“事”与“情” 刘思著 978-7-5068-7541-7 J905
江晓原科幻电影指南 江晓原著 978-7-108-06865-1 J905
公路电影 李彬著 978-7-5670-2468-7 J90
器局方概 张志杰等著 978-7-108-06679-4 J509
色彩理想国 "(英)大卫·科尔斯著,(澳)阿德里安·兰德摄影" 978-7-5680-6122-3 J063-49
色彩列传 "(法)米歇尔·帕斯图罗著,张文敬译" 978-7-108-06742-5 J063
全能配色方案1本通 "(日)南云治嘉著,张月译" 978-7-5153-6027-0 J063
配色力 "(日)久野尚美编著,佟凡译" 978-7-5153-5994-6 J063
配色原理与色彩搭配实战宝典 宋翔编著 978-7-302-55783-8 J063
图像学 "(美)W.J.T.米歇尔著,陈永国译" 978-7-301-31142-4 J061
透视创意设计的传播要素和运行机制 杨扬著 978-7-5203-6075-3 J06
B代表包豪斯 "(英)迪耶·萨迪奇著,齐梦涵译" 978-7-5207-1256-9 J06
造物设计 巫建编著 978-7-5142-2883-0 J06
从偏离的方向中找寻设计灵感 "(日)嶋浩一郎著,朱梦蝶译" 978-7-111-65898-6 J06
中国当代艺术导论十三种 朱青生著 978-7-100-18337-6 J12
观照世界的二十面镜子 郑晓君著 978-7-5668-2898-9 J024
艺术人类学 易中天著 978-7-5171-3344-5 J0-05
我们的光影时代 张纯洁著 978-7-5168-2637-9 J0
花的传奇物语 "(美)维侬·奎因著,陈苍多译" 978-7-210-11548-9 I712
海明威书信集 "(美)海明威著,张迪译" 978-7-5690-2424-1 K837
荒野集 "(美)洛克威尔·肯特著,杨鹏译" 978-7-108-06857-6 I712
日本四季 文 978-7-5447-8183-1 I267
卡利普索 "(美)大卫·塞达里斯(DavidSedaris)[著],苏伊瑶译" 978-7-5321-7607-6 I712
写作中的大作家 "(美)萨拉·斯托多拉著,叶安宁译" 978-7-02-016104-1 I712
流动的盛宴 "(美)海明威著,汤永宽译" 978-7-5327-8483-7 I712
寻猫启事 "(美)南茜·戴维森著,王雨璐译" 978-7-5624-8066-2 I712
世界的聆听者 (美)沈双著 978-7-5447-8258-6 I712
瓦尔登湖 "(美)亨利·戴维·梭罗著,徐迟译" 978-7-5212-0888-7 I712
1922“厦门号”的故事 "(美)阿尔弗雷德·尼尔森著,詹朝霞编译" 978-7-5334-8690-7 I712
树民 "(美)安妮·普鲁著,陈恒译" 978-7-02-015258-2 I712
美国牧歌 "(美)菲利普·罗斯著,罗小云译" 978-7-5327-8202-4 I712
人性的污秽 "(美)菲利普·罗斯著,刘珠还译" 978-7-5327-7988-8 I712
火药魔法师 "(美)布莱恩·麦克莱伦著,露可小溪译" 978-7-229-14341-1 I712
破窗 "(美)杰夫里·迪弗著,屠珀译" 978-7-5133-4019-9 I712
遗产 "(美)菲利普·罗斯著,彭伦译" 978-7-5327-8225-3 I712
疯狂山脉 "(美)H.P.洛夫克拉夫特著,(英)I.N.J.卡尔巴德绘" 978-7-5699-3172-3 I712
尸骨袋 "(美)斯蒂芬·金著,宋伟航译" 978-7-02-014990-2 I712
欺骗 "(美)菲利普·罗斯著,王维东译" 978-7-5327-8367-0 I712
怪屋女孩 "(美)兰萨姆·里格斯著,姚箐箐译" 978-7-5455-5566-0 I712
百变王牌 "(美)乔治·R.R.马丁编,崔永琦译" 978-7-229-14416-6 I712
最后的郊狼 "(美)迈克尔·康奈利著,冷步梅译" 978-7-5404-6065-5 I712
黑色回声 "(美)迈克尔·康奈利著,陈静芳译" 978-7-5404-9464-3 I712
绝望 "弗拉基米尔·纳博科夫,朱世达译" 978-7-5327-8498-1 I712
通灵师 "(美)金·斯坦利·罗宾逊著,李静译" 978-7-229-14394-7 I712
超凡脱俗的鸟 "(美)布拉德·沃森著,黄建树译" 978-7-5596-3634-8 I712
哈蜜的废墟 (美)陈谦著 978-7-5598-2944-3 I712
在路上 "(美)杰克·凯鲁亚克著,陈超译" 978-7-5404-9510-7 I712
斩首之邀 "弗拉基米尔·纳博科夫,陈安全译" 978-7-5327-8496-7 I712
播种者寓言 "(美)奥克塔维娅·E.巴特勒著,耿辉译" 978-7-5455-5393-2 I712
血战太平洋之决战冲绳岛 "(美国)E.B.斯莱奇著,张志刚译" 978-7-5447-7935-7 I712
看着我消失 "(美)杰奈尔·布朗著,陈磊译" 978-7-5596-4249-3 I712
毛毛星球 "(美)约翰·斯卡尔齐著,万昱译" 978-7-5594-3644-3 I712
宇航服防尘指南 "(美)哈尔·克莱门特著,张涵译" 978-7-5133-3765-6 I712
达摩流浪者 "(美)杰克·凯鲁亚克著,陈东飚译" 978-7-5217-1646-7 I712
原始人传奇 "(美)琼·奥尔著,姜金龙译" 978-7-5596-4042-0 I712
原始人传奇 "(美)琼·奥尔著,姜金龙译" 978-7-5596-4041-3 I712
原始人传奇 "(美)琼·奥尔著,黄中宪译" 978-7-5596-4040-6 I712
乞力马扎罗的雪 "(美)欧内斯特·米勒·海明威著,黄韵雅译" 978-7-5511-4431-5 I712
夜有千双眼 "(美)康奈尔·伍里奇著,王元媛译" 978-7-5321-7665-6 I712
生活之歌 "(美)C.E.摩根著,赵燕译" 978-7-02-015309-1 I712
眼睛 "(美)弗拉基米尔·纳博科夫,蒲隆译" 978-7-5327-8500-1 I712
谋杀者小夜曲 "(美)康奈尔·伍里奇著,刘敏霞译" 978-7-5321-7662-5 I712
黑色恐惧之路 "(美)康奈尔·伍里奇著,陈小兰译" 978-7-5321-7657-1 I712
欧洲人 "(美)亨利·詹姆斯著,郑植译" 978-7-5581-2896-7 I712
玛丽安·摩尔诗全集 陈东飚译 978-7-5760-0405-2 I712
这才是布考斯基 "(美)查尔斯·布考斯基著,(美)阿贝尔·德布瑞托编选" 978-7-5411-5549-9 I712
爱情之谜 "(美)金·阿多尼兹奥著,梁余晶译" 978-7-5411-5518-5 I712
狄金森诗全集 ",蒲隆译" 978-7-5327-8459-2 I712
狄金森诗选 "(美)艾米莉·狄金森著,王柏华等译" 978-7-5411-5158-3 H319
惊奇 "(美)亚历克·内瓦拉-李著,孙亚南译" 978-7-5682-8388-5 I712
凯瑟琳·安·波特小说中的创伤叙事研究 魏懿著 978-7-5194-5828-7 I712
约翰·厄普代克小说叙事研究 马晓霞著 978-7-5103-3082-7 I712
边缘者的吟唱 王鹏著 978-7-5203-6647-2 I712
古典传统在美国 "(美)卡尔·理查德著,史晓洁译" 978-7-108-06643-5 I712
叙事的胜利 "(加拿大)罗伯特·弗尔福德著,李磊译" 978-7-305-23068-4 I711
找回你的生命礼物 "(加)克里斯多福·孟著,王岑卉译" 978-7-5411-5678-6 I711
在爱的废墟上 "(加)露比·考尔著,程婧波译" 978-7-5321-7676-2 I711
消失的女孩 "(澳)克里斯蒂安·怀特著,王一鹏译" 978-7-5695-1745-3 I611
项塔兰 "(澳)格里高利·大卫·罗伯兹著,黄中宪译" 978-7-5596-3830-4 I611
人间食粮 "(法)安德烈·纪德著,李玉民译" 978-7-5596-4389-6 I565
蒙田随笔 "(法)蒙田著,黄建华译" 978-7-02-016072-3 I565
蒙田随笔精选集 "(法)蒙田著,茜茜译" 978-7-5113-8185-9 I565
巴比龙 "(法)昂利·沙里叶著,木子昂译" 978-7-5142-3004-8 I565
颜色去哪儿了 "(法)让-加布里埃尔·科斯著,焦君怡译" 978-7-02-014862-2 I565
该是重新点亮星星的时候了 "(法)维尔吉妮·格里马尔蒂著,杨旭译" 978-7-5404-9617-3 I565
灵犬雪莉 "(法)尼古拉斯·瓦尼耶著,王猛译" 978-7-5404-9621-0 I565
来自巴格达的尤利西斯 "(法)埃里克－埃马纽埃尔·施米特著,周国强译" 978-7-5217-1824-9 I565
艾吕雅诗选 "(法)保尔·艾吕雅著,罗大冈译" 978-7-02-011722-2 I565
莱歌集 "(法)法兰西的玛丽著,钟希译" 978-7-308-20112-4 I565
花的智慧 "(比)莫里斯·梅特林克著,赵晓燕译" 978-7-5680-6138-4 I564
海洋之星 "(爱尔兰)约瑟夫·奥康纳著,陈超译" 978-7-5596-4081-9 I562
都柏林人 "(爱尔兰)詹姆斯·乔伊斯著,辛彩娜译" 978-7-5217-1772-3 I562
意外旅行团 "(爱尔兰)席亚拉·格拉蒂著,姚瑶译" 978-7-201-15991-1 I562
纳尼亚传奇 "(英)C.S.刘易斯著,闫泰友译" 978-7-5063-9958-6 I561
神话 "(英)斯德芬·弗莱著,黄天怡译" 978-7-5722-0402-9 I561
英雄 "(英)斯蒂芬·弗莱著,黄天怡译" 978-7-5722-0403-6 I561
名作家和他们的衣橱 "(英)特莉·纽曼著,林燕译" 978-7-02-012857-0 I561
杂草的故事 "(英国)理查德·梅比著,陈曦译" 978-7-5447-7407-9 I561
白沙 "(英)杰夫·戴尔著,王晓英译" 978-7-5339-6068-1 I561
间谍的工具箱 "(英)史蒂芬·特威格著,乔迪译" 978-7-5133-4072-4 D526
相约博物馆 "(英)安妮·扬森著,姚瑶译" 978-7-5596-4170-0 I561
恶魔之城 "(英)保罗·法兰奇著,兰莹译" 978-7-5201-6567-9 I561
拥抱逝水年华 "(英)阿兰·德波顿著,余斌译" 978-7-5327-8502-5 I565
秘密生活 "(英)安德鲁·奥黑根著,陈红译" 978-7-5327-8345-8 I561
E.M.福斯特文集 "(英)E.M.福斯特著,苏福忠译" 978-7-5327-8534-6 I561
项狄传 "(英)劳伦斯·斯特恩著,蒲隆译" 978-7-5327-8415-8 I561
帕迪多街车站 "(英)柴纳·米耶维著,杨蓓译" 978-7-229-14666-5 I561
花园中的处子 "(英)A.S.拜厄特著,杨向荣译" 978-7-5321-7692-2 I561
人性的枷锁 "(英)毛姆著,徐淳刚译" 978-7-5217-1484-5 I561
东西街 "(英)菲利普·桑兹著,吴筱筠译" 978-7-5139-2928-8 I561
布赖顿棒糖 姚锦清译 978-7-5327-8456-1 I561
逃避之路 "(英)格雷厄姆·格林著,黄勇民译" 978-7-5327-8457-8 I561
权力与荣耀 傅惟慈译 978-7-5327-8453-0 I561
爱情笔记 "(英)阿兰·德波顿著,孟丽译" 978-7-5327-8503-2 I561
治疗 "(英)戴维·洛奇著,罗贻荣译" 978-7-5133-4021-2 I561
常看电影的人们 "(英)戴维·洛奇著,王维青译" 978-7-5133-4048-9 I561
眼睛游戏 "(英)埃利亚斯·卡内蒂著,陈良梅译" 978-7-02-015299-5 I561
间谍的遗产 "(英)约翰·勒卡雷著,文泽尔译" 978-7-208-16351-5 I561
生活曾经这样 "GrahamGreene,陆谷孙译" 978-7-5327-8454-7 I561
一位绅士的画像 "(英)毛姆著,吴建国等译" 978-7-02-015586-6 I561
少女的沉默 "(英)派特·巴克著,翁海贞译" 978-7-5596-4239-4 I561
我所知道的一切 "(英)吉莉恩·麦卡利斯特著,祖颖译" 978-7-5404-9640-1 I561
眼睛像杯子的男孩 "(英)妮奇·辛娜著,王爽译" 978-7-5404-9593-0 I561
我不想成为任何人 "(英)卡斯·亨特著,吴超译" 978-7-5057-4927-6 I561
新巴黎的最后时光 "(英)柴纳·米耶维著,林南山译" 978-7-229-15031-0 I561
狮子的外衣 "(英)毛姆著,薄振杰主编" 978-7-02-015637-5 I561
贪食忘忧果的人 "(英)毛姆著,李和庆等译" 978-7-02-015585-9 I561
英国特工 "(英)毛姆著,王越西译" 978-7-02-013427-4 I561
姐姐 "(英)米克·基德森著,程静译" 978-7-5500-3735-9 I561
双面恶魔 "(英)埃里克·安布勒著,王林园译" 978-7-5321-7688-5 I561
湖区疑案 "(英)约翰·布德著,钱竞译" 978-7-5153-5933-5 I561
康沃尔海岸疑案 "(英)约翰·布德著,夏彬彬译" 978-7-5153-5930-4 I561
切尔滕纳姆广场疑案 "(英)约翰·布德著,张靖敏译" 978-7-5153-5929-8 I561
地铁疑案 "(英)梅维斯·多里尔·海著,魏波珣子译" 978-7-5153-5928-1 I561
奥兰多 "(英)弗吉尼亚·伍尔夫著,徐会坛...[等]译" 978-7-5680-6247-3 I561
致艾米丽的秘密手稿 "(英)凯瑟琳·斯利著,周唯译" 978-7-5411-5640-3 I561
幕间 "(英)弗吉尼亚·伍尔夫著,刘钟梁译" 978-7-5680-6377-7 I561
王尔德戏剧精选集 "(英)奥斯卡·王尔德著,许渊冲译" 978-7-5444-9897-5 I561
莎乐美 "(英)王尔德著,李筱媛译" 978-7-201-15968-3 I561
莎士比亚悲喜剧 "(英)莎士比亚著,朱生豪译" 978-7-5411-5321-1 I561
中文详注剑桥莎士比亚精选 总主编陈国华 978-7-5619-5663-2 H319
李尔王 "(英)威廉·莎士比亚著,朱生豪译" 978-7-5212-0990-7 I561
佩尼希胶卷 "(英)乔治·西尔泰什著,连晗生译" 978-7-5378-6133-5 I561
我歌唱夜色将尽 "(英)艾米莉·勃朗特著,刘新民译" 978-7-5426-6795-3 I561
理性思维的崛起 赵敏懿著 978-7-5068-7321-5 I561
跨媒介的审美现代性 沈安妮著 978-7-5203-6366-2 I561
帕特·巴克战争小说的创伤叙事 刘建梅著 978-7-5201-6966-0 I561
脱节的时代 "(匈)阿格尼斯·赫勒著,吴亚蓉译" 978-7-5080-8739-9 I561
乔治·赫伯特诗歌研究 吴虹著 978-7-5178-3871-5 I561
济慈与中国诗人 卢炜著 978-7-5446-6146-1 I561
夜空的抚慰 "(波黑)杰瓦德·卡拉哈桑著,宋健飞译" 978-7-5327-8297-0 I555
侦探故事 "(匈牙利)凯尔泰斯·伊姆雷著,杨永前译" 978-7-02-015788-4 I515
清算 "(匈牙利)凯尔泰斯·伊姆雷著,杨永前译" 978-7-02-015796-9 I515
外星人在巴塞罗那 "(西班牙)爱德华多·门多萨著,查芳菲译" 978-7-02-015731-0 I551
堂吉诃德 "(西)塞万提斯著,董燕生译" 978-7-5404-9458-2 I551
密涅瓦火柴盒 "(意)翁贝托·埃科著,李婧敬译" 978-7-5327-8488-2 I546
树敌 "(意)翁贝托·埃科著,李婧译" 978-7-5327-8491-2 I546
山林间 "(意)毛罗·科罗纳著,亚比译" 978-7-5598-2823-1 I546
傅科摆 "(意)翁贝托·埃科著,郭世琮译" 978-7-5327-8489-9 I546
波多里诺 "(意)翁贝托·埃科著,杨孟哲译" 978-7-5327-8486-8 I546
微型世界 "(意)克劳迪奥·马格里斯著,陈英译" 978-7-5327-8327-4 I546
岁时记 "(古罗马)奥维德著,李永毅译注" 978-7-5153-5927-4 I546
诺贝尔文学奖颁给一个小丑? 刘明厚著 978-7-208-16502-1 I546
希腊神话与英雄传说 郑振铎编著 978-7-5596-4380-3 I545
希腊神话与英雄传说 郑振铎编著 978-7-5699-3590-5 I545
囚徒 "(罗)诺曼·马内阿著,陈东飚译" 978-7-5133-3998-8 I542
孤筏重洋 "(挪威)托尔·海尔达尔著,吴丽玫译" 978-7-5411-5679-3 I533
人生第一次 "(瑞典)弗雷德里克·巴克曼(FredrikBackman)著,余小山译" 978-7-5411-5696-0 I532
